CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37
7678850,6499,3547799,6990806,112600,1937475,4937625,1998,1482376,,,,5245867,400000,103864,,,1941186,9058227,189489,698329,189489,508840,1616218,1077983,256386,0,636040,0,636040,11,50089,4937625,3072,1934403,,,,
8550816,6499,1081514,2096192,1780318,312327,,115598,171795,,,,3850001,3850001,,1444020,,,3121509,237808,330861,239008,91853,989778,679651,798,0,349588,0,349588,8,398899,,1071,311256,,,,
9356240,6499,2277395,3919576,108422,3811154,,2415,2522961,,,,2264000,2264000,,181454,,,3679296,226784,988445,231445,757000,1772807,740206,526002,0,277763,0,277763,9,2272714,,4367,3807762,,,,
6328601,6499,651791,135902,47421,88228,253,674,32922,,,,500687,500687,,,,,755445,567280,571605,571280,325,422613,389866,2,181737,0,154621,0,6,702483,31572,1008,87220,,,,
6838953,6612,9245135,57505576,16129898,41375552,,116910,50096921,,14826,188033,15425605,15425605,422833,,,,16567841,7984154,12376795,8047335,4329460,10048688,10081150,1918212,377433,0,377433,0,67,356110,,262,41375290,5475585,5475585,,
7627369,6630,8648310,564108,287631,276384,0,5417,146728,2533,0,0,5085020,5200000,1639377,0,0,0,9068574,2348381,2350570,2350570,0,1105341,980681,25343,1344546,0,1150311,0,9,1733441,0,313,276071,0,0,0,0
24467322,6630,358730,820722,94764,725958,,25326,21759,294824,,,910000,910000,126950,,,,888195,958948,1593503,958948,634555,1663391,1327313,489497,0,223307,0,231978,3,19162,,6247,497472,,,,
22264941,6630,569589,8695188,664926,258221,7772041,32624,935263,61791,,299040,5795323,5795323,,,,,8001307,6466204,6658459,6466204,192255,4973448,5785380,61664,811415,0,657137,0,12,,6437441,5220,251287,,,,
8057584,6612,3361330,6735200,71257,6663943,,470,5160563,527271,,,4404145,500250,1161000,,,1135721,4409166,425555,530778,430057,100721,917885,709637,11607,0,190466,0,190466,12,3352912,,668,6663275,,,,
25061950,6612,6475947,15299308,40879,289052,14969377,2821,686563,,,,22996878,22950000,,1151837,,,21091513,69767,527657,70253,457404,1485664,1240962,161372,0,874677,0,885423,9,5767900,,56,288996,,,,
18005590,6499,3556,17281492,21042,2475945,14784505,488,50358,15515042,,,344350,344350,,,,,1720136,434882,467151,434999,32152,801220,801056,28,0,333933,0,333933,,0,14784505,41,2475904,,,,
