"GILIAN GRUP TRANS SRL","14299272","J13/1982/2001","ROONRC.J13/1982/2001","1048","Municipiul Medgidia, Str. DEZROBIRII Nr. 6, Bloc 3, Scara B, Etaj 2, Apartament 22, Judet Constanta","","","39135","500","35934","2701","","444541","444541","","-405406","200","","2650","2650","14752","0","12102","0","12182","1"
"DANITA TRADE NET SRL","14280911","J13/1918/2001","ROONRC.J13/1918/2001","1048,2080","Municipiul Constanta, B-dul TOMIS Nr. 336, Bloc B1, Scara H, Etaj 4, Apartament 158, Judet Constanta","","","990475","813004","175583","1888","","1247028","1247028","","-256553","200","","180318","180900","239221","0","58321","0","60130","3"
"BOSS WASH SRL","14409332","J13/577/2002","ROONRC.J13/577/2002","1048,2080","Municipiul Constanta, Sos. MANGALIEI Nr. 158, Judet Constanta","","","46017","","44468","1549","","1517294","1517294","","-1471277","200","","","0","70","0","70","0","70",""
"CRIO SRL","2548280","J38/1322/1992","ROONRC.J38/1322/1992","1048,2080","Sat Greci, Comuna Mateesti, Com. Mateesti, Judet Valcea","364","364","2135","141","","1994","282","500","500","","2281","260","","597","597","145","452","0","434","0","12"
"ANDRE SRL","6485800","J38/590/1992","ROONRC.J38/590/1992","1048,2080","Municipiul Ramnicu Valcea, Str. Banu Maracine Nr. 5, Judet Valcea","2282","2282","154324","104012","","50312","","196973","196973","","-40367","217","","82006","90091","55860","34231","","33411","","2"
"SHIPS SCENTS BUSSINES SRL","14347680","J13/2130/2001","ROONRC.J13/2130/2001","1048,2080","Municipiul Mangalia, B-dul CALLATIS Nr. FN, Bloc MG29, Scara A, Judet Constanta","373307","373307","155941","","39035","116906","78","360192","360192","","169134","200","","17753","256295","93542","162753","0","136556","0","2"
"GEMINI TRADE DDD SRL","14335839","J13/2099/2001","ROONRC.J13/2099/2001","1048,2080","Municipiul Constanta, Str. EMIL RACOVITA Nr. 34, Judet Constanta","133225","133225","1205848","64795","137067","1003986","","669575","669575","","669498","500","","1493779","1503223","819329","683894","0","668898","0","16"
"AGRO-STRAJA SRL","14379843","J13/521/2002","ROONRC.J13/521/2002","1048,2080","Sat Baraganu, Comuna Baraganu, Str. STRAJA, Judet Constanta","637267","637267","709771","298269","269263","142239","","779683","779683","","567355","400","","423680","643073","628006","15067","0","10741","0","5"
"CRISTIAN AGRO-SERV SRL","14369297","J13/2184/2001","ROONRC.J13/2184/2001","1048,2080","Loc. Ovidiu, Oras Ovidiu, Str. CISMELEI Nr. 22, Judet Constanta","223158","223158","258977","56748","83640","118589","","203135","203135","","279000","200","","707964","709477","382655","326822","0","326166","0","3"
"A & G BLUE FASHION SRL","28927555","J34/493/2011","ROONRC.J34/493/2011","1052,2080","Municipiul Alexandria, Str. DUNARII, Bloc I20, Scara A, Etaj 4, Apartament 19, Judet Teleorman","","","40388","40208","","180","","83389","83389","","-43001","200","","","0","","0","0","0","0",""
"TAKORADI INTERNATIONAL S.R.L.","32143165","J20/773/2013","ROONRC.J20/773/2013","1048","Municipiul Deva, Aleea ROMANILOR, CARTIER DACIA, Bloc 9, Scara 2, Etaj P, Apartament 3, Judet Hunedoara","46000","46000","51344","0","3799","47545","0","47510","47510","0","49834","200","0","13415","13415","2361","11054","0","10652","0","0"
